FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
"# Suite 300, San Francisco, California, 94105, USA.","http://10.10.11.100/# Suite 300, San Francisco, California, 94105, USA.",,9,200,25169,10028,389,text/html; charset=UTF-8,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/","http://10.10.11.100/# license, visit http://creativecommons.org/licenses/by-sa/3.0/",,7,200,25169,10028,389,text/html; charset=UTF-8,
# on at least 2 different hosts,http://10.10.11.100/# on at least 2 different hosts,,12,200,25169,10028,389,text/html; charset=UTF-8,
resources,http://10.10.11.100/resources,http://10.10.11.100/resources/,84,301,316,20,10,text/html; charset=iso-8859-1,
"# Priority ordered case-sensitive list, where entries were found","http://10.10.11.100/# Priority ordered case-sensitive list, where entries were found",,11,200,25169,10028,389,text/html; charset=UTF-8,
# Copyright 2007 James Fisher,http://10.10.11.100/# Copyright 2007 James Fisher,,3,200,25169,10028,389,text/html; charset=UTF-8,
#,http://10.10.11.100/#,,4,200,25169,10028,389,text/html; charset=UTF-8,
#,http://10.10.11.100/#,,2,200,25169,10028,389,text/html; charset=UTF-8,
#,http://10.10.11.100/#,,10,200,25169,10028,389,text/html; charset=UTF-8,
# directory-list-2.3-medium.txt,http://10.10.11.100/# directory-list-2.3-medium.txt,,1,200,25169,10028,389,text/html; charset=UTF-8,
#,http://10.10.11.100/#,,13,200,25169,10028,389,text/html; charset=UTF-8,
# This work is licensed under the Creative Commons,http://10.10.11.100/# This work is licensed under the Creative Commons,,5,200,25169,10028,389,text/html; charset=UTF-8,
,http://10.10.11.100/,,14,200,25169,10028,389,text/html; charset=UTF-8,
# Attribution-Share Alike 3.0 License. To view a copy of this,http://10.10.11.100/# Attribution-Share Alike 3.0 License. To view a copy of this,,6,200,25169,10028,389,text/html; charset=UTF-8,
"# or send a letter to Creative Commons, 171 Second Street,","http://10.10.11.100/# or send a letter to Creative Commons, 171 Second Street,",,8,200,25169,10028,389,text/html; charset=UTF-8,
assets,http://10.10.11.100/assets,http://10.10.11.100/assets/,291,301,313,20,10,text/html; charset=iso-8859-1,
css,http://10.10.11.100/css,http://10.10.11.100/css/,550,301,310,20,10,text/html; charset=iso-8859-1,
js,http://10.10.11.100/js,http://10.10.11.100/js/,953,301,309,20,10,text/html; charset=iso-8859-1,
,http://10.10.11.100/,,45240,200,25169,10028,389,text/html; charset=UTF-8,
server-status,http://10.10.11.100/server-status,,95524,403,277,20,10,text/html; charset=iso-8859-1,
"# Suite 300, San Francisco, California, 94105, USA.","http://10.10.11.100/resources/# Suite 300, San Francisco, California, 94105, USA.",,9,200,2840,169,26,text/html;charset=UTF-8,
#,http://10.10.11.100/resources/#,,4,200,2840,169,26,text/html;charset=UTF-8,
# This work is licensed under the Creative Commons,http://10.10.11.100/resources/# This work is licensed under the Creative Commons,,5,200,2840,169,26,text/html;charset=UTF-8,
# directory-list-2.3-medium.txt,http://10.10.11.100/resources/# directory-list-2.3-medium.txt,,1,200,2840,169,26,text/html;charset=UTF-8,
"# or send a letter to Creative Commons, 171 Second Street,","http://10.10.11.100/resources/# or send a letter to Creative Commons, 171 Second Street,",,8,200,2840,169,26,text/html;charset=UTF-8,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/","http://10.10.11.100/resources/# license, visit http://creativecommons.org/licenses/by-sa/3.0/",,7,200,2840,169,26,text/html;charset=UTF-8,
# on at least 2 different hosts,http://10.10.11.100/resources/# on at least 2 different hosts,,12,200,2840,169,26,text/html;charset=UTF-8,
#,http://10.10.11.100/resources/#,,13,200,2840,169,26,text/html;charset=UTF-8,
,http://10.10.11.100/resources/,,14,200,2840,169,26,text/html;charset=UTF-8,
#,http://10.10.11.100/resources/#,,10,200,2840,169,26,text/html;charset=UTF-8,
#,http://10.10.11.100/resources/#,,2,200,2840,169,26,text/html;charset=UTF-8,
"# Priority ordered case-sensitive list, where entries were found","http://10.10.11.100/resources/# Priority ordered case-sensitive list, where entries were found",,11,200,2840,169,26,text/html;charset=UTF-8,
# Copyright 2007 James Fisher,http://10.10.11.100/resources/# Copyright 2007 James Fisher,,3,200,2840,169,26,text/html;charset=UTF-8,
# Attribution-Share Alike 3.0 License. To view a copy of this,http://10.10.11.100/resources/# Attribution-Share Alike 3.0 License. To view a copy of this,,6,200,2840,169,26,text/html;charset=UTF-8,
