FUZZEXT,FUZZDIR,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
html,,http://10.10.11.100/.html,,1,403,277,20,10,text/html; charset=iso-8859-1,
txt,.hta,http://10.10.11.100/.hta.txt,,63,403,277,20,10,text/html; charset=iso-8859-1,
.hta,php,http://10.10.11.100/.hta.php,,62,403,277,20,10,text/html; charset=iso-8859-1,
html,.hta,http://10.10.11.100/.hta.html,,61,403,277,20,10,text/html; charset=iso-8859-1,
.htaccess,php,http://10.10.11.100/.htaccess.php,,68,403,277,20,10,text/html; charset=iso-8859-1,
back,.hta,http://10.10.11.100/.hta.back,,64,403,277,20,10,text/html; charset=iso-8859-1,
info,.hta,http://10.10.11.100/.hta.info,,66,403,277,20,10,text/html; charset=iso-8859-1,
html,.htaccess,http://10.10.11.100/.htaccess.html,,67,403,277,20,10,text/html; charset=iso-8859-1,
bak,.hta,http://10.10.11.100/.hta.bak,,65,403,277,20,10,text/html; charset=iso-8859-1,
.htpasswd,php,http://10.10.11.100/.htpasswd.php,,74,403,277,20,10,text/html; charset=iso-8859-1,
txt,.htpasswd,http://10.10.11.100/.htpasswd.txt,,75,403,277,20,10,text/html; charset=iso-8859-1,
html,.htpasswd,http://10.10.11.100/.htpasswd.html,,73,403,277,20,10,text/html; charset=iso-8859-1,
back,.htaccess,http://10.10.11.100/.htaccess.back,,70,403,277,20,10,text/html; charset=iso-8859-1,
txt,.htaccess,http://10.10.11.100/.htaccess.txt,,69,403,277,20,10,text/html; charset=iso-8859-1,
bak,.htaccess,http://10.10.11.100/.htaccess.bak,,71,403,277,20,10,text/html; charset=iso-8859-1,
info,.htaccess,http://10.10.11.100/.htaccess.info,,72,403,277,20,10,text/html; charset=iso-8859-1,
php,,http://10.10.11.100/.php,,2,403,277,20,10,text/html; charset=iso-8859-1,
.htpasswd,back,http://10.10.11.100/.htpasswd.back,,76,403,277,20,10,text/html; charset=iso-8859-1,
bak,.htpasswd,http://10.10.11.100/.htpasswd.bak,,77,403,277,20,10,text/html; charset=iso-8859-1,
info,.htpasswd,http://10.10.11.100/.htpasswd.info,,78,403,277,20,10,text/html; charset=iso-8859-1,
db,php,http://10.10.11.100/db.php,,7022,200,0,1,1,text/html; charset=UTF-8,
index,php,http://10.10.11.100/index.php,,12098,200,25169,10028,389,text/html; charset=UTF-8,
php,portal,http://10.10.11.100/portal.php,,18254,200,125,11,6,text/html; charset=UTF-8,
