FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
"# Priority ordered case sensative list, where entries were found ","http://intelligence.htb/# Priority ordered case sensative list, where entries were found ",,11,200,7432,2762,130,text/html,
# directory-list-2.3-medium.txt,http://intelligence.htb/# directory-list-2.3-medium.txt,,1,200,7432,2762,130,text/html,
#,http://intelligence.htb/#,,13,200,7432,2762,130,text/html,
#,http://intelligence.htb/#,,4,200,7432,2762,130,text/html,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ","http://intelligence.htb/# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ",,7,200,7432,2762,130,text/html,
"# Suite 300, San Francisco, California, 94105, USA.","http://intelligence.htb/# Suite 300, San Francisco, California, 94105, USA.",,9,200,7432,2762,130,text/html,
# Copyright 2007 James Fisher,http://intelligence.htb/# Copyright 2007 James Fisher,,3,200,7432,2762,130,text/html,
#,http://intelligence.htb/#,,10,200,7432,2762,130,text/html,
"# or send a letter to Creative Commons, 171 Second Street, ","http://intelligence.htb/# or send a letter to Creative Commons, 171 Second Street, ",,8,200,7432,2762,130,text/html,
# Attribution-Share Alike 3.0 License. To view a copy of this ,http://intelligence.htb/# Attribution-Share Alike 3.0 License. To view a copy of this ,,6,200,7432,2762,130,text/html,
#,http://intelligence.htb/#,,2,200,7432,2762,130,text/html,
# on atleast 2 different hosts,http://intelligence.htb/# on atleast 2 different hosts,,12,200,7432,2762,130,text/html,
,http://intelligence.htb/,,14,200,7432,2762,130,text/html,
# This work is licensed under the Creative Commons ,http://intelligence.htb/# This work is licensed under the Creative Commons ,,5,200,7432,2762,130,text/html,
documents,http://intelligence.htb/documents,http://intelligence.htb/documents/,235,301,157,9,2,text/html; charset=UTF-8,
Documents,http://intelligence.htb/Documents,http://intelligence.htb/Documents/,2029,301,157,9,2,text/html; charset=UTF-8,
,http://intelligence.htb/,,45240,200,7432,2762,130,text/html,
# This work is licensed under the Creative Commons ,http://intelligence.htb/documents/# This work is licensed under the Creative Commons ,,5,403,1233,73,30,text/html,
#,http://intelligence.htb/documents/#,,4,403,1233,73,30,text/html,
"# Suite 300, San Francisco, California, 94105, USA.","http://intelligence.htb/documents/# Suite 300, San Francisco, California, 94105, USA.",,9,403,1233,73,30,text/html,
# Attribution-Share Alike 3.0 License. To view a copy of this ,http://intelligence.htb/documents/# Attribution-Share Alike 3.0 License. To view a copy of this ,,6,403,1233,73,30,text/html,
#,http://intelligence.htb/documents/#,,2,403,1233,73,30,text/html,
# directory-list-2.3-medium.txt,http://intelligence.htb/documents/# directory-list-2.3-medium.txt,,1,403,1233,73,30,text/html,
# Copyright 2007 James Fisher,http://intelligence.htb/documents/# Copyright 2007 James Fisher,,3,403,1233,73,30,text/html,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ","http://intelligence.htb/documents/# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ",,7,403,1233,73,30,text/html,
"# or send a letter to Creative Commons, 171 Second Street, ","http://intelligence.htb/documents/# or send a letter to Creative Commons, 171 Second Street, ",,8,403,1233,73,30,text/html,
,http://intelligence.htb/documents/,,14,403,1233,73,30,text/html,
"# Priority ordered case sensative list, where entries were found ","http://intelligence.htb/documents/# Priority ordered case sensative list, where entries were found ",,11,403,1233,73,30,text/html,
#,http://intelligence.htb/documents/#,,13,403,1233,73,30,text/html,
# on atleast 2 different hosts,http://intelligence.htb/documents/# on atleast 2 different hosts,,12,403,1233,73,30,text/html,
#,http://intelligence.htb/documents/#,,10,403,1233,73,30,text/html,
,http://intelligence.htb/documents/,,45240,403,1233,73,30,text/html,
# This work is licensed under the Creative Commons ,http://intelligence.htb/Documents/# This work is licensed under the Creative Commons ,,5,403,1233,73,30,text/html,
#,http://intelligence.htb/Documents/#,,10,403,1233,73,30,text/html,
#,http://intelligence.htb/Documents/#,,2,403,1233,73,30,text/html,
# Attribution-Share Alike 3.0 License. To view a copy of this ,http://intelligence.htb/Documents/# Attribution-Share Alike 3.0 License. To view a copy of this ,,6,403,1233,73,30,text/html,
# Copyright 2007 James Fisher,http://intelligence.htb/Documents/# Copyright 2007 James Fisher,,3,403,1233,73,30,text/html,
"# or send a letter to Creative Commons, 171 Second Street, ","http://intelligence.htb/Documents/# or send a letter to Creative Commons, 171 Second Street, ",,8,403,1233,73,30,text/html,
"# Suite 300, San Francisco, California, 94105, USA.","http://intelligence.htb/Documents/# Suite 300, San Francisco, California, 94105, USA.",,9,403,1233,73,30,text/html,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ","http://intelligence.htb/Documents/# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ",,7,403,1233,73,30,text/html,
"# Priority ordered case sensative list, where entries were found ","http://intelligence.htb/Documents/# Priority ordered case sensative list, where entries were found ",,11,403,1233,73,30,text/html,
#,http://intelligence.htb/Documents/#,,4,403,1233,73,30,text/html,
# on atleast 2 different hosts,http://intelligence.htb/Documents/# on atleast 2 different hosts,,12,403,1233,73,30,text/html,
#,http://intelligence.htb/Documents/#,,13,403,1233,73,30,text/html,
,http://intelligence.htb/Documents/,,14,403,1233,73,30,text/html,
# directory-list-2.3-medium.txt,http://intelligence.htb/Documents/# directory-list-2.3-medium.txt,,1,403,1233,73,30,text/html,
,http://intelligence.htb/Documents/,,45240,403,1233,73,30,text/html,
