FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
2020-01-23-upload.pdf,http://intelligence.htb/documents/2020-01-23-upload.pdf,,23,200,11557,167,136,application/pdf,
2020-01-01-upload.pdf,http://intelligence.htb/documents/2020-01-01-upload.pdf,,1,200,26835,241,209,application/pdf,
2020-01-22-upload.pdf,http://intelligence.htb/documents/2020-01-22-upload.pdf,,22,200,28637,236,224,application/pdf,
2020-02-17-upload.pdf,http://intelligence.htb/documents/2020-02-17-upload.pdf,,48,200,11228,167,132,application/pdf,
2020-01-30-upload.pdf,http://intelligence.htb/documents/2020-01-30-upload.pdf,,30,200,26706,242,193,application/pdf,
2020-02-28-upload.pdf,http://intelligence.htb/documents/2020-02-28-upload.pdf,,59,200,11543,167,131,application/pdf,
2020-01-04-upload.pdf,http://intelligence.htb/documents/2020-01-04-upload.pdf,,4,200,27522,223,196,application/pdf,
2020-01-02-upload.pdf,http://intelligence.htb/documents/2020-01-02-upload.pdf,,2,200,27002,229,199,application/pdf,
2020-02-11-upload.pdf,http://intelligence.htb/documents/2020-02-11-upload.pdf,,42,200,25245,241,198,application/pdf,
2020-02-23-upload.pdf,http://intelligence.htb/documents/2020-02-23-upload.pdf,,54,200,27378,247,213,application/pdf,
2020-02-24-upload.pdf,http://intelligence.htb/documents/2020-02-24-upload.pdf,,55,200,27332,237,206,application/pdf,
2020-03-21-upload.pdf,http://intelligence.htb/documents/2020-03-21-upload.pdf,,81,200,11250,157,134,application/pdf,
2020-03-04-upload.pdf,http://intelligence.htb/documents/2020-03-04-upload.pdf,,64,200,26194,235,202,application/pdf,
2020-03-05-upload.pdf,http://intelligence.htb/documents/2020-03-05-upload.pdf,,65,200,26124,221,205,application/pdf,
2020-04-02-upload.pdf,http://intelligence.htb/documents/2020-04-02-upload.pdf,,93,200,11466,156,134,application/pdf,
2020-03-12-upload.pdf,http://intelligence.htb/documents/2020-03-12-upload.pdf,,72,200,27143,233,213,application/pdf,
2020-03-13-upload.pdf,http://intelligence.htb/documents/2020-03-13-upload.pdf,,73,200,24888,213,204,application/pdf,
2020-03-17-upload.pdf,http://intelligence.htb/documents/2020-03-17-upload.pdf,,77,200,27227,221,210,application/pdf,
2020-04-15-upload.pdf,http://intelligence.htb/documents/2020-04-15-upload.pdf,,106,200,26689,227,212,application/pdf,
2020-04-04-upload.pdf,http://intelligence.htb/documents/2020-04-04-upload.pdf,,95,200,27949,226,208,application/pdf,
2020-05-01-upload.pdf,http://intelligence.htb/documents/2020-05-01-upload.pdf,,122,200,28228,237,194,application/pdf,
2020-05-03-upload.pdf,http://intelligence.htb/documents/2020-05-03-upload.pdf,,124,200,26093,233,208,application/pdf,
2020-05-11-upload.pdf,http://intelligence.htb/documents/2020-05-11-upload.pdf,,132,200,27244,243,207,application/pdf,
2020-04-23-upload.pdf,http://intelligence.htb/documents/2020-04-23-upload.pdf,,114,200,24865,224,212,application/pdf,
2020-05-20-upload.pdf,http://intelligence.htb/documents/2020-05-20-upload.pdf,,141,200,27480,215,200,application/pdf,
2020-05-24-upload.pdf,http://intelligence.htb/documents/2020-05-24-upload.pdf,,145,200,11857,174,149,application/pdf,
2020-01-10-upload.pdf,http://intelligence.htb/documents/2020-01-10-upload.pdf,,10,200,26400,232,205,application/pdf,
2020-01-25-upload.pdf,http://intelligence.htb/documents/2020-01-25-upload.pdf,,25,200,26252,225,193,application/pdf,
2020-06-02-upload.pdf,http://intelligence.htb/documents/2020-06-02-upload.pdf,,154,200,27797,236,212,application/pdf,
2020-06-03-upload.pdf,http://intelligence.htb/documents/2020-06-03-upload.pdf,,155,200,11381,160,136,application/pdf,
2020-05-07-upload.pdf,http://intelligence.htb/documents/2020-05-07-upload.pdf,,128,200,26062,225,183,application/pdf,
2020-06-04-upload.pdf,http://intelligence.htb/documents/2020-06-04-upload.pdf,,156,200,26922,222,220,application/pdf,
2020-06-08-upload.pdf,http://intelligence.htb/documents/2020-06-08-upload.pdf,,160,200,11540,165,135,application/pdf,
2020-06-12-upload.pdf,http://intelligence.htb/documents/2020-06-12-upload.pdf,,164,200,11575,159,128,application/pdf,
2020-06-14-upload.pdf,http://intelligence.htb/documents/2020-06-14-upload.pdf,,166,200,26443,236,186,application/pdf,
2020-06-15-upload.pdf,http://intelligence.htb/documents/2020-06-15-upload.pdf,,167,200,27121,245,206,application/pdf,
2020-05-21-upload.pdf,http://intelligence.htb/documents/2020-05-21-upload.pdf,,142,200,26255,251,194,application/pdf,
2020-05-29-upload.pdf,http://intelligence.htb/documents/2020-05-29-upload.pdf,,150,200,11532,159,132,application/pdf,
2020-07-06-upload.pdf,http://intelligence.htb/documents/2020-07-06-upload.pdf,,188,200,24966,217,183,application/pdf,
2020-07-02-upload.pdf,http://intelligence.htb/documents/2020-07-02-upload.pdf,,184,200,27320,236,202,application/pdf,
2020-07-08-upload.pdf,http://intelligence.htb/documents/2020-07-08-upload.pdf,,190,200,11910,167,141,application/pdf,
2020-06-07-upload.pdf,http://intelligence.htb/documents/2020-06-07-upload.pdf,,159,200,27937,240,217,application/pdf,
2020-07-20-upload.pdf,http://intelligence.htb/documents/2020-07-20-upload.pdf,,202,200,12100,162,138,application/pdf,
2020-07-24-upload.pdf,http://intelligence.htb/documents/2020-07-24-upload.pdf,,206,200,26321,211,207,application/pdf,
2020-06-21-upload.pdf,http://intelligence.htb/documents/2020-06-21-upload.pdf,,173,200,26060,246,210,application/pdf,
2020-06-30-upload.pdf,http://intelligence.htb/documents/2020-06-30-upload.pdf,,182,200,25634,234,194,application/pdf,
2020-08-01-upload.pdf,http://intelligence.htb/documents/2020-08-01-upload.pdf,,214,200,27038,228,205,application/pdf,
2020-08-09-upload.pdf,http://intelligence.htb/documents/2020-08-09-upload.pdf,,222,200,11611,161,144,application/pdf,
2020-08-20-upload.pdf,http://intelligence.htb/documents/2020-08-20-upload.pdf,,233,200,10711,171,133,application/pdf,
2020-06-22-upload.pdf,http://intelligence.htb/documents/2020-06-22-upload.pdf,,174,200,26278,239,207,application/pdf,
2020-01-20-upload.pdf,http://intelligence.htb/documents/2020-01-20-upload.pdf,,20,200,11632,157,127,application/pdf,
2020-06-25-upload.pdf,http://intelligence.htb/documents/2020-06-25-upload.pdf,,177,200,10662,157,142,application/pdf,
2020-09-04-upload.pdf,http://intelligence.htb/documents/2020-09-04-upload.pdf,,248,200,26986,245,194,application/pdf,
2020-08-03-upload.pdf,http://intelligence.htb/documents/2020-08-03-upload.pdf,,216,200,25405,247,189,application/pdf,
2020-09-06-upload.pdf,http://intelligence.htb/documents/2020-09-06-upload.pdf,,250,200,25551,238,193,application/pdf,
2020-09-11-upload.pdf,http://intelligence.htb/documents/2020-09-11-upload.pdf,,255,200,12098,156,146,application/pdf,
2020-09-13-upload.pdf,http://intelligence.htb/documents/2020-09-13-upload.pdf,,257,200,26521,219,212,application/pdf,
2020-05-17-upload.pdf,http://intelligence.htb/documents/2020-05-17-upload.pdf,,138,200,26448,239,207,application/pdf,
2020-09-16-upload.pdf,http://intelligence.htb/documents/2020-09-16-upload.pdf,,260,200,26959,236,207,application/pdf,
2020-08-19-upload.pdf,http://intelligence.htb/documents/2020-08-19-upload.pdf,,232,200,26885,231,214,application/pdf,
2020-09-22-upload.pdf,http://intelligence.htb/documents/2020-09-22-upload.pdf,,266,200,25072,225,194,application/pdf,
2020-09-27-upload.pdf,http://intelligence.htb/documents/2020-09-27-upload.pdf,,271,200,26809,248,227,application/pdf,
2020-06-26-upload.pdf,http://intelligence.htb/documents/2020-06-26-upload.pdf,,178,200,27338,236,205,application/pdf,
2020-06-28-upload.pdf,http://intelligence.htb/documents/2020-06-28-upload.pdf,,180,200,26390,216,208,application/pdf,
2020-09-02-upload.pdf,http://intelligence.htb/documents/2020-09-02-upload.pdf,,246,200,27148,215,203,application/pdf,
2020-09-05-upload.pdf,http://intelligence.htb/documents/2020-09-05-upload.pdf,,249,200,26417,210,193,application/pdf,
2020-10-19-upload.pdf,http://intelligence.htb/documents/2020-10-19-upload.pdf,,293,200,27196,244,213,application/pdf,
2020-11-03-upload.pdf,http://intelligence.htb/documents/2020-11-03-upload.pdf,,308,200,25568,222,186,application/pdf,
2020-09-29-upload.pdf,http://intelligence.htb/documents/2020-09-29-upload.pdf,,273,200,24586,228,221,application/pdf,
2020-09-30-upload.pdf,http://intelligence.htb/documents/2020-09-30-upload.pdf,,274,200,26080,244,197,application/pdf,
2020-10-05-upload.pdf,http://intelligence.htb/documents/2020-10-05-upload.pdf,,279,200,11248,162,127,application/pdf,
2020-11-13-upload.pdf,http://intelligence.htb/documents/2020-11-13-upload.pdf,,318,200,11074,153,134,application/pdf,
2020-11-24-upload.pdf,http://intelligence.htb/documents/2020-11-24-upload.pdf,,329,200,11412,151,133,application/pdf,
2020-11-30-upload.pdf,http://intelligence.htb/documents/2020-11-30-upload.pdf,,335,200,27286,252,207,application/pdf,
2020-11-01-upload.pdf,http://intelligence.htb/documents/2020-11-01-upload.pdf,,306,200,26599,237,186,application/pdf,
2020-11-10-upload.pdf,http://intelligence.htb/documents/2020-11-10-upload.pdf,,315,200,25472,229,216,application/pdf,
2020-11-11-upload.pdf,http://intelligence.htb/documents/2020-11-11-upload.pdf,,316,200,26461,226,206,application/pdf,
2020-12-20-upload.pdf,http://intelligence.htb/documents/2020-12-20-upload.pdf,,355,200,11902,163,137,application/pdf,
2020-12-24-upload.pdf,http://intelligence.htb/documents/2020-12-24-upload.pdf,,359,200,26825,234,209,application/pdf,
2020-12-28-upload.pdf,http://intelligence.htb/documents/2020-12-28-upload.pdf,,363,200,11480,164,127,application/pdf,
2021-01-03-upload.pdf,http://intelligence.htb/documents/2021-01-03-upload.pdf,,369,200,27828,233,206,application/pdf,
2021-01-14-upload.pdf,http://intelligence.htb/documents/2021-01-14-upload.pdf,,380,200,11178,170,137,application/pdf,
2020-12-10-upload.pdf,http://intelligence.htb/documents/2020-12-10-upload.pdf,,345,200,26762,224,200,application/pdf,
2020-11-06-upload.pdf,http://intelligence.htb/documents/2020-11-06-upload.pdf,,311,200,25964,251,220,application/pdf,
2021-01-25-upload.pdf,http://intelligence.htb/documents/2021-01-25-upload.pdf,,391,200,27582,237,215,application/pdf,
2021-01-30-upload.pdf,http://intelligence.htb/documents/2021-01-30-upload.pdf,,396,200,25939,227,194,application/pdf,
2020-12-30-upload.pdf,http://intelligence.htb/documents/2020-12-30-upload.pdf,,365,200,25109,218,191,application/pdf,
2021-02-10-upload.pdf,http://intelligence.htb/documents/2021-02-10-upload.pdf,,407,200,26978,230,205,application/pdf,
2021-02-13-upload.pdf,http://intelligence.htb/documents/2021-02-13-upload.pdf,,410,200,27053,232,212,application/pdf,
2021-02-21-upload.pdf,http://intelligence.htb/documents/2021-02-21-upload.pdf,,418,200,26032,241,214,application/pdf,
2020-12-15-upload.pdf,http://intelligence.htb/documents/2020-12-15-upload.pdf,,350,200,27242,242,210,application/pdf,
2021-03-01-upload.pdf,http://intelligence.htb/documents/2021-03-01-upload.pdf,,426,200,11254,175,135,application/pdf,
2021-03-07-upload.pdf,http://intelligence.htb/documents/2021-03-07-upload.pdf,,432,200,10676,164,139,application/pdf,
2021-03-10-upload.pdf,http://intelligence.htb/documents/2021-03-10-upload.pdf,,435,200,25109,240,199,application/pdf,
2021-03-18-upload.pdf,http://intelligence.htb/documents/2021-03-18-upload.pdf,,443,200,27992,220,203,application/pdf,
2021-03-21-upload.pdf,http://intelligence.htb/documents/2021-03-21-upload.pdf,,446,200,26810,229,205,application/pdf,
2021-03-25-upload.pdf,http://intelligence.htb/documents/2021-03-25-upload.pdf,,450,200,27327,231,211,application/pdf,
2021-03-27-upload.pdf,http://intelligence.htb/documents/2021-03-27-upload.pdf,,452,200,12127,166,141,application/pdf,
2021-02-25-upload.pdf,http://intelligence.htb/documents/2021-02-25-upload.pdf,,422,200,26700,228,180,application/pdf,
