FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/","http://api-prod.horizontall.htb/# license, visit http://creativecommons.org/licenses/by-sa/3.0/",,7,200,413,76,20,text/html; charset=utf-8,
#,http://api-prod.horizontall.htb/#,,2,200,413,76,20,text/html; charset=utf-8,
# Copyright 2007 James Fisher,http://api-prod.horizontall.htb/# Copyright 2007 James Fisher,,3,200,413,76,20,text/html; charset=utf-8,
# directory-list-2.3-medium.txt,http://api-prod.horizontall.htb/# directory-list-2.3-medium.txt,,1,200,413,76,20,text/html; charset=utf-8,
,http://api-prod.horizontall.htb/,,14,200,413,76,20,text/html; charset=utf-8,
"# Priority ordered case-sensitive list, where entries were found","http://api-prod.horizontall.htb/# Priority ordered case-sensitive list, where entries were found",,11,200,413,76,20,text/html; charset=utf-8,
#,http://api-prod.horizontall.htb/#,,10,200,413,76,20,text/html; charset=utf-8,
#,http://api-prod.horizontall.htb/#,,13,200,413,76,20,text/html; charset=utf-8,
"# Suite 300, San Francisco, California, 94105, USA.","http://api-prod.horizontall.htb/# Suite 300, San Francisco, California, 94105, USA.",,9,200,413,76,20,text/html; charset=utf-8,
# on at least 2 different hosts,http://api-prod.horizontall.htb/# on at least 2 different hosts,,12,200,413,76,20,text/html; charset=utf-8,
#,http://api-prod.horizontall.htb/#,,4,200,413,76,20,text/html; charset=utf-8,
# This work is licensed under the Creative Commons,http://api-prod.horizontall.htb/# This work is licensed under the Creative Commons,,5,200,413,76,20,text/html; charset=utf-8,
"# or send a letter to Creative Commons, 171 Second Street,","http://api-prod.horizontall.htb/# or send a letter to Creative Commons, 171 Second Street,",,8,200,413,76,20,text/html; charset=utf-8,
# Attribution-Share Alike 3.0 License. To view a copy of this,http://api-prod.horizontall.htb/# Attribution-Share Alike 3.0 License. To view a copy of this,,6,200,413,76,20,text/html; charset=utf-8,
reviews,http://api-prod.horizontall.htb/reviews,,137,200,507,21,1,application/json; charset=utf-8,
users,http://api-prod.horizontall.htb/users,,202,403,60,1,1,application/json; charset=utf-8,
admin,http://api-prod.horizontall.htb/admin,,259,200,854,98,17,text/html; charset=utf-8,
Reviews,http://api-prod.horizontall.htb/Reviews,,1609,200,507,21,1,application/json; charset=utf-8,
Users,http://api-prod.horizontall.htb/Users,,3701,403,60,1,1,application/json; charset=utf-8,
Admin,http://api-prod.horizontall.htb/Admin,,6098,200,854,98,17,text/html; charset=utf-8,
