FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
# on atleast 2 different hosts,http://10.10.10.220:5080/# on atleast 2 different hosts,http://10.10.10.220:5080/users/sign_in,12,302,104,5,1,
# directory-list-2.3-medium.txt,http://10.10.10.220:5080/# directory-list-2.3-medium.txt,http://10.10.10.220:5080/users/sign_in,1,302,104,5,1,
"# Priority ordered case sensative list, where entries were found ","http://10.10.10.220:5080/# Priority ordered case sensative list, where entries were found ",http://10.10.10.220:5080/users/sign_in,11,302,104,5,1,
#,http://10.10.10.220:5080/#,http://10.10.10.220:5080/users/sign_in,13,302,104,5,1,
serial,http://10.10.10.220:5080/serial,http://10.10.10.220:5080/users/sign_in,21,302,104,5,1,
img,http://10.10.10.220:5080/img,http://10.10.10.220:5080/users/sign_in,39,302,104,5,1,
logo,http://10.10.10.220:5080/logo,http://10.10.10.220:5080/users/sign_in,31,302,104,5,1,
#,http://10.10.10.220:5080/#,http://10.10.10.220:5080/users/sign_in,10,302,104,5,1,
privacy,http://10.10.10.220:5080/privacy,http://10.10.10.220:5080/users/sign_in,29,302,104,5,1,
faq,http://10.10.10.220:5080/faq,http://10.10.10.220:5080/users/sign_in,36,302,104,5,1,
# This work is licensed under the Creative Commons ,http://10.10.10.220:5080/# This work is licensed under the Creative Commons ,http://10.10.10.220:5080/users/sign_in,5,302,104,5,1,
rss,http://10.10.10.220:5080/rss,http://10.10.10.220:5080/users/sign_in,37,302,104,5,1,
"# Suite 300, San Francisco, California, 94105, USA.","http://10.10.10.220:5080/# Suite 300, San Francisco, California, 94105, USA.",http://10.10.10.220:5080/users/sign_in,9,302,104,5,1,
# Copyright 2007 James Fisher,http://10.10.10.220:5080/# Copyright 2007 James Fisher,http://10.10.10.220:5080/users/sign_in,3,302,104,5,1,
images,http://10.10.10.220:5080/images,http://10.10.10.220:5080/users/sign_in,16,302,104,5,1,
search,http://10.10.10.220:5080/search,,27,200,12401,578,201,
# Attribution-Share Alike 3.0 License. To view a copy of this ,http://10.10.10.220:5080/# Attribution-Share Alike 3.0 License. To view a copy of this ,http://10.10.10.220:5080/users/sign_in,6,302,104,5,1,
#,http://10.10.10.220:5080/#,http://10.10.10.220:5080/users/sign_in,4,302,104,5,1,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ","http://10.10.10.220:5080/# license, visit http://creativecommons.org/licenses/by-sa/3.0/ ",http://10.10.10.220:5080/users/sign_in,7,302,104,5,1,
news,http://10.10.10.220:5080/news,http://10.10.10.220:5080/users/sign_in,19,302,104,5,1,
index,http://10.10.10.220:5080/index,http://10.10.10.220:5080/users/sign_in,15,302,104,5,1,
#,http://10.10.10.220:5080/#,http://10.10.10.220:5080/users/sign_in,2,302,104,5,1,
blog,http://10.10.10.220:5080/blog,http://10.10.10.220:5080/users/sign_in,32,302,104,5,1,
default,http://10.10.10.220:5080/default,http://10.10.10.220:5080/users/sign_in,40,302,104,5,1,
