FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
,http://10.129.201.140/,,1,200,11971,735,319,text/html; charset=utf-8,
about,http://10.129.201.140/about,,223,200,3522,250,75,text/html; charset=utf-8,
contact,http://10.129.201.140/contact,,1013,200,4905,242,110,text/html; charset=utf-8,
dashboard,http://10.129.201.140/dashboard,http://10.129.201.140/,1156,302,208,21,4,text/html; charset=utf-8,
logout,http://10.129.201.140/logout,http://10.129.201.140/,2362,302,208,21,4,text/html; charset=utf-8,
server-status,http://10.129.201.140/server-status,,3588,403,279,20,10,text/html; charset=iso-8859-1,
static,http://10.129.201.140/static,http://10.129.201.140/static/,3841,301,317,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
.htaccess,http://10.129.201.140/static/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/,,1,200,2081,136,23,text/html;charset=UTF-8,
.hta,http://10.129.201.140/static/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
blog,http://10.129.201.140/static/blog,http://10.129.201.140/static/blog/,646,301,322,20,10,text/html; charset=iso-8859-1,
components,http://10.129.201.140/static/components,http://10.129.201.140/static/components/,978,301,328,20,10,text/html; charset=iso-8859-1,
css,http://10.129.201.140/static/css,http://10.129.201.140/static/css/,1114,301,321,20,10,text/html; charset=iso-8859-1,
font,http://10.129.201.140/static/font,http://10.129.201.140/static/font/,1647,301,322,20,10,text/html; charset=iso-8859-1,
img,http://10.129.201.140/static/img,http://10.129.201.140/static/img/,1998,301,321,20,10,text/html; charset=iso-8859-1,
js,http://10.129.201.140/static/js,http://10.129.201.140/static/js/,2179,301,320,20,10,text/html; charset=iso-8859-1,
vendor,http://10.129.201.140/static/vendor,http://10.129.201.140/static/vendor/,4286,301,324,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/blog/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/blog/,,1,200,1326,88,19,text/html;charset=UTF-8,
.hta,http://10.129.201.140/static/blog/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
.htaccess,http://10.129.201.140/static/blog/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
css,http://10.129.201.140/static/blog/css,http://10.129.201.140/static/blog/css/,1114,301,326,20,10,text/html; charset=iso-8859-1,
fonts,http://10.129.201.140/static/blog/fonts,http://10.129.201.140/static/blog/fonts/,1648,301,328,20,10,text/html; charset=iso-8859-1,
js,http://10.129.201.140/static/blog/js,http://10.129.201.140/static/blog/js/,2179,301,325,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/components/,,1,200,1162,76,18,text/html;charset=UTF-8,
.hta,http://10.129.201.140/static/components/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
.htaccess,http://10.129.201.140/static/components/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/components/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
.htaccess,http://10.129.201.140/static/css/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/css/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
.hta,http://10.129.201.140/static/css/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/css/,,1,200,1970,107,22,text/html;charset=UTF-8,
.htaccess,http://10.129.201.140/static/font/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/font/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/font/,,1,200,1401,88,19,text/html;charset=UTF-8,
.hta,http://10.129.201.140/static/font/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/img/,,1,200,4866,239,36,text/html;charset=UTF-8,
.htpasswd,http://10.129.201.140/static/img/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
.htaccess,http://10.129.201.140/static/img/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
.hta,http://10.129.201.140/static/img/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
.htaccess,http://10.129.201.140/static/js/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
.hta,http://10.129.201.140/static/js/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/js/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/js/,,1,200,2727,167,25,text/html;charset=UTF-8,
.hta,http://10.129.201.140/static/vendor/.hta,,11,403,279,20,10,text/html; charset=iso-8859-1,
,http://10.129.201.140/static/vendor/,,1,200,1966,124,22,text/html;charset=UTF-8,
.htaccess,http://10.129.201.140/static/vendor/.htaccess,,12,403,279,20,10,text/html; charset=iso-8859-1,
.htpasswd,http://10.129.201.140/static/vendor/.htpasswd,,13,403,279,20,10,text/html; charset=iso-8859-1,
jquery,http://10.129.201.140/static/vendor/jquery,http://10.129.201.140/static/vendor/jquery/,2176,301,331,20,10,text/html; charset=iso-8859-1,
