2023/01/06 18:21:14 >  Using KDC(s):
2023/01/06 18:21:14 >  	10.10.171.16:88
2023/01/06 18:21:14 >  [+] VALID USERNAME:	 james@spookysec.local
2023/01/06 18:21:15 >  [+] VALID USERNAME:	 svc-admin@spookysec.local
2023/01/06 18:21:17 >  [+] VALID USERNAME:	 James@spookysec.local
2023/01/06 18:21:17 >  [+] VALID USERNAME:	 robin@spookysec.local
2023/01/06 18:21:22 >  [+] VALID USERNAME:	 darkstar@spookysec.local
2023/01/06 18:21:25 >  [+] VALID USERNAME:	 administrator@spookysec.local
2023/01/06 18:21:32 >  [+] VALID USERNAME:	 backup@spookysec.local
2023/01/06 18:21:35 >  [+] VALID USERNAME:	 paradox@spookysec.local
2023/01/06 18:21:54 >  [+] VALID USERNAME:	 JAMES@spookysec.local
2023/01/06 18:22:00 >  [+] VALID USERNAME:	 Robin@spookysec.local
2023/01/06 18:22:38 >  [+] VALID USERNAME:	 Administrator@spookysec.local
2023/01/06 18:23:56 >  [+] VALID USERNAME:	 Darkstar@spookysec.local
2023/01/06 18:24:20 >  [+] VALID USERNAME:	 Paradox@spookysec.local
2023/01/06 18:25:37 >  [+] VALID USERNAME:	 DARKSTAR@spookysec.local
2023/01/06 18:25:57 >  [+] VALID USERNAME:	 ori@spookysec.local
2023/01/06 18:26:40 >  [+] VALID USERNAME:	 ROBIN@spookysec.local
2023/01/06 18:28:32 >  Done! Tested 73317 usernames (16 valid) in 438.021 seconds
